club_name,races_attended
Cincinnati Country Day School Rowing Team,"['39', '84', '114', '206', '215', '218', '230', '233', '250', '258', '260', '261', '263', '271', '302', '311', '359', '360', '365', '381', '427', '439', '492', '520', '525', '533', '538', '560', '577', '589', '643', '662', '708', '709', '715', '717', '760', '761', '765', '814', '836', '848', '872', '877', '955', '975', '1070', '1113', '1148', '1149', '1178', '1448', '1462', '1502', '1505', '1515', '1530', '1568', '1776', '1810', '1823', '1844', '1945', '2045', '2086', '2111', '2142', '2206', '2234', '2239', '2240', '2272', '2336', '2337', '2520', '2556', '2606', '2610', '2676', '2816', '2924', '2956', '3016', '3062', '3101', '3261', '3397', '3407', '3437', '3458', '3473', '3489', '3510', '3567', '3644', '3681', '3701', '3734', '3735', '3792', '3838', '3839', '3862', '3869', '3937', '4005', '4288', '4503', '4504', '4801', '4950', '4951', '5092', '5377', '5378', '5430', '5654', '5975', '6097', '6109', '6750', '7030', '7144', '7201']"
Maple Bay,"['3644', '3937', '6228']"
Zone 5 Vancouver-Coastal,['5873']
Endeavour Rowing Club,"['2810', '3227', '4004', '4043', '4511', '4686']"
Bare Cove Boat Club,['6142']
Weybridge,"['2910', '4271', '4699']"
Queen City Water Sports Center,"['2538', '3062', '3211', '3261', '3945', '4112', '4288', '4345', '4450', '4504', '4584', '4755', '4787', '4800', '4801', '4809', '4931', '4950', '4999', '5092', '5099', '5329', '5345', '5377', '5428', '5430', '5597', '5616', '5780', '5854', '5875', '6060', '6097', '6108', '6109', '6196', '6199', '6230', '6304', '6446', '6457', '6800', '7110', '7122', '7144', '7201', '7203']"
Ivanhoe Girls Grammar School,['3477']
London District Christian Secondary School,"['4179', '4462', '4684', '4726', '4998', '5012', '5081', '5086', '5142', '5185', '5577', '5603', '5802', '5812', '6433']"
HSBC RC,['6228']
Danforth Collegiate and Technical Institute,"['6433', '6436']"
Danske Studenters Roklub,"['47', '832', '2189', '2266', '2298', '2910', '3644', '3663', '3937', '4215', '4271', '4699', '4716', '4977', '5097', '5656', '6039', '6051', '6141', '6228', '7090', '7180']"
Newcastle Grammar,['3014']
Columbia Juniors Rowing Club,"['31', '592', '1173']"
RCT,['6228']
Fordham University,"['47', '98', '118', '144', '221', '245', '334', '383', '442', '572', '595', '663', '742', '841', '865', '947', '1027', '1041', '1080', '1130', '1137', '1229', '1434', '1435', '1440', '1556', '1565', '1586', '1610', '1712', '1737', '1750', '1924', '1949', '1961', '2057', '2124', '2143', '2238', '2314', '2349', '2368', '2608', '2630', '2866', '2928', '3016', '3145', '3152', '3164', '3263', '3447', '3485', '3581', '3674', '3702', '3720', '3968', '3999', '4076', '4093', '4152', '4208', '4215', '4349', '4350', '4363', '4411', '4570', '4627', '4659', '4699', '4714', '4720', '4887', '4977', '4979', '5036', '5058', '5162', '5167', '5410', '5481', '5499', '5612', '5616', '5656', '5772', '5961', '6051', '6141', '6169', '6219', '6265', '6385', '6471', '7175']"
Club d'aviron de l'Universite de Montreal,"['22', '1248', '1434', '2630', '2790', '3329', '3675', '3896', '4218', '4359', '4607', '4737', '4847', '4887', '5033', '5169', '5191', '5272', '5275', '5276', '5965', '6009', '6022', '6073', '6161', '6502', '6575', '6635', '6689', '6827']"
Massie Lane Outfitters,['5541']
St. Andrew's Episcopal Academy,"['5418', '5603']"
Abingdon Rowing Club,"['4699', '4716']"
Ruder-Riege der Turngemeinde in Berlin 1848 e.V.,"['2266', '2910', '4271', '4716']"
MLARC,"['865', '988', '989']"
Wildwood Beach Patrol,"['25', '499', '650', '865', '940']"
Fredriksstad Roklub,"['2266', '4231']"
Pénzügyőr SE,"['6228', '6676']"
